 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
40 42 639.6394 692.2159 273.22757887 -18.741016488 -4.7137 0.2819 76.82217 19.93809 1.0979999999999999 3.13 52.14346 273.22757889999997 -18.7410165 99.0 99.0 99.0 0.0 0.0 0.0
41 43 1691.4565 706.7181 273.75925064 -18.251968026 -4.7279 0.2797 77.83457 20.04784 1.168 3.68 51.99323 273.75925060000003 -18.251967999999998 10.921750999999999 10.136754 9.24785042 0.7849969999999988 1.673900579999998 0.8889035799999991
42 44 406.7408 715.9949 273.12321902 -18.861898087 -6.2776 0.0853 324.3649 25.46461 1.5419999999999998 4.42 52.248670000000004 273.123219 -18.8618981 9.42415619 8.52293491 7.59353495 0.9012212799999997 1.8306212400000001 0.9293999600000005
43 45 1116.8656 724.6012 273.48193076 -18.531438103 -4.73 0.2757 77.98656 19.79748 1.077 2.01 51.34903 273.48193080000004 -18.531438100000003 99.0 99.0 99.0 0.0 0.0 0.0
44 46 26.8131 728.1097 272.93852628 -19.04638016 -5.211 0.188 121.4478 21.02744 1.261 4.98 52.407340000000005 272.93852630000004 -19.046380199999998 9.20136738 9.13338757 8.92174435 0.06797981000000064 0.2796230299999998 0.21164321999999913
45 47 1370.218 1015.4682 273.75291296 -18.549103818 -7.3859 0.0422 900.2844 34.99094 1.171 2.22 51.851890000000004 273.752913 -18.5491038 7.53560162 7.29717255 6.88883114 0.23842906999999958 0.6467704799999998 0.40834141000000024
46 48 1912.7311 2014.3806 274.52060521 -18.762012536 -6.9196 0.0555 585.9216 29.9416 1.314 2.95 51.69983 274.5206052 -18.7620125 8.77928352 7.89476919 6.96972799 0.88451433 1.80955553 0.9250411999999999
47 49 1321.8837 2006.7022 274.22294062 -19.03833908 -5.0591 0.2132 105.596 20.72866 1.464 3.93 51.942809999999994 274.2229406 -19.0383391 99.0 99.0 99.0 0.0 0.0 0.0
48 50 1822.9201 2001.3771 274.46951839 -18.79839818 -7.7933 0.0338 1310.172 40.79995 1.445 4.3 51.6971 274.46951839999997 -18.798398199999998 6.71992064 6.70989847 6.64388657 0.010022170000000052 0.07603406999999951 0.06601189999999946
49 51 1193.2045 1999.572 274.1553774 -19.095963317 -5.0219 0.2197 102.0394 20.642689999999998 1.008 1.94 52.052209999999995 274.15537739999996 -19.0959633 9.92752647 9.35926151 8.64107227 0.5682649600000005 1.2864541999999997 0.7181892399999992
50 52 1841.829 1988.5193 274.47245571 -18.783594813 -5.6035 0.1391 174.33900000000003 22.325329999999997 1.78 3.45 51.66088 274.4724557 -18.7835948 6.71992064 6.70989847 6.64388657 0.010022170000000052 0.07603406999999951 0.06601189999999946
51 53 511.2811 1977.4582 273.80342696 -19.407838380999998 -5.1226 0.2033 111.9539 20.96213 1.8090000000000002 3.86 51.87239 273.803427 -19.4078384 11.1430616 9.99488163 8.92940617 1.1481799699999993 2.2136554299999993 1.06547546
52 54 307.8561 1965.5704 273.6958253 -19.49827665 -4.3925 0.3727 57.1463 19.61131 0.9670000000000001 3.42 52.174820000000004 273.6958253 -19.498276699999998 99.0 99.0 99.0 0.0 0.0 0.0
53 55 864.6222 1959.3691 273.97137052 -19.232354189000002 -5.0378 0.2169 103.5458 20.67915 1.2690000000000001 2.85 51.93913 273.97137050000003 -19.2323542 10.399579 9.613164900000001 8.74657726 0.7864140999999982 1.6530017399999988 0.8665876400000005
54 56 1419.8441 1957.337 274.24708522 -18.968726477 -7.4727 0.0401 975.1284 36.04455 1.272 2.46 51.90461 274.2470852 -18.968726500000002 99.0 99.0 99.0 0.0 0.0 0.0
55 57 700.1405 1942.007 273.88050063 -19.301991664000003 -5.2452 0.1837 125.3402 21.19956 1.238 3.0 51.93953 273.8805006 -19.3019917 9.46565723 9.33991909 9.07755566 0.12573813999999928 0.3881015699999999 0.2623634300000006
56 58 1956.3361 1930.295 274.50017739 -18.701838134000003 -7.3544 0.0432 874.4726 34.766090000000005 1.483 5.56 51.527229999999996 274.5001774 -18.701838100000003 7.74176025 7.16625261 6.41925812 0.5755076399999997 1.3225021299999993 0.7469944899999996
57 59 1382.013 1915.4075 274.20723498 -18.966842865 -5.094 0.2065 109.0404 20.73031 1.1179999999999999 4.37 51.96262 274.207235 -18.966842899999996 9.36295414 9.13119984 8.69582748 0.23175429999999864 0.6671266599999992 0.43537236000000057
58 60 1555.6845 1899.367 274.28558397 -18.877148057 -5.2537 0.1825 126.3235 21.222739999999998 1.579 3.39 51.7961 274.285584 -18.877148100000003 99.0 99.0 99.0 0.0 0.0 0.0
59 61 1621.0066 1888.7235 274.31307255 -18.841253749 -5.3498 0.1685 138.0095 21.41763 2.346 3.22 51.63671 274.31307250000003 -18.8412537 10.4781704 10.2916107 9.96800041 0.1865597000000001 0.5101699899999996 0.3236102899999995
60 62 780.3121 1876.078 273.88760543 -19.23300754 -5.4426 0.1568 150.3349 21.70346 1.348 3.19 51.93606 273.8876053999999 -19.233007500000003 99.0 99.0 99.0 0.0 0.0 0.0
61 63 1633.0323 1863.1343 274.306114 -18.823466006 -5.9273 0.1093 234.9105 23.64301 1.735 3.83 51.66088 274.30611400000004 -18.823466 9.1089201 9.02007103 8.79041672 0.0888490700000002 0.318503380000001 0.2296543100000008
62 64 830.3934 1863.1216 273.90608925 -19.203303387000002 -5.4299 0.1595 148.5833 21.81835 1.4040000000000001 3.26 51.96456 273.9060892 -19.2033034 9.64997482 9.36766338 8.90965843 0.28231144000000086 0.7403163900000003 0.4580049499999994
63 65 1461.0316 1830.1721 274.20395205 -18.889435148 -5.2168 0.1886 122.1045 21.20287 1.604 2.52 51.88147 274.203952 -18.889435100000004 99.0 99.0 99.0 0.0 0.0 0.0
64 66 356.6178 1830.1391 273.65256223 -19.411457963 -5.3489 0.1687 137.8954 21.41497 1.4880000000000002 4.59 52.06187 273.6525622 -19.411458 9.57773685 9.03246212 8.32616138 0.5452747300000009 1.2515754700000006 0.7063007399999996
65 67 1277.3688 1822.9008 274.10894143 -18.972993269 -5.5387 0.1461 164.2421 22.09804 1.077 2.05 52.11468 274.1089414 -18.972993300000002 8.8797636 8.77735615 8.54450417 0.10240745000000118 0.3352594300000007 0.23285197999999951
66 68 423.7656 1806.6769 273.67434953 -19.368831714000002 -6.3013 0.0828 331.5199 25.27295 1.444 3.39 52.0586 273.6743495 -19.368831699999998 9.59759903 8.30330658 7.1795826 1.2942924500000004 2.4180164299999998 1.1237239799999994
67 69 1449.6203 1802.6731 274.18467781 -18.881763885999998 -4.5919 0.3134 68.66806 19.8179 1.317 2.87 51.9375 274.1846778 -18.8817639 99.0 99.0 99.0 0.0 0.0 0.0
68 70 1414.2379 1797.5678 274.16455614 -18.896176524 -3.2007 1.0235 19.06624 17.96921 0.603 0.97 51.96958 274.1645561 -18.896176500000003 10.122508999999999 10.0584927 9.89832306 0.0640162999999987 0.22418593999999992 0.16016964000000122
69 71 1335.922 1796.4623 274.12483305 -18.932550895 -4.2005 0.4354 47.88644 19.19875 1.273 3.92 52.13662 274.12483310000005 -18.9325509 10.593240699999999 10.5135498 10.327050199999999 0.07969089999999923 0.26619050000000044 0.1864996000000012
70 72 917.8858 1792.4386 273.91450956 -19.128684635 -4.6896 0.2876 75.13466 19.89573 1.087 2.34 52.07911 273.91450960000003 -19.128684600000003 99.0 99.0 99.0 0.0 0.0 0.0
71 73 1290.9618 1777.9954 274.09323578 -18.945660454000002 -2.8724 1.4173 14.09097 18.38946 0.466 2.19 52.198209999999996 274.0932358 -18.945660500000002 10.4411964 10.2209072 9.84647274 0.22028920000000163 0.5947236600000014 0.3744344599999998
72 74 1485.7809 1774.8063 274.18893311 -18.851555915 -4.8833 0.245 89.81214 20.261229999999998 1.768 2.26 51.87378 274.18893310000004 -18.851555899999997 11.0489655 10.4015064 9.62875366 0.647459099999999 1.4202118400000003 0.7727527400000014
73 75 994.1713 1752.068 273.93239618 -19.07349574 -3.6967 0.6756 30.10868 18.73003 0.695 3.61 52.22571 273.93239619999997 -19.0734957 11.2774439 10.2006273 9.18196774 1.076816599999999 2.0954761600000005 1.0186595600000015
74 76 1776.0496 1743.7885 274.31745079 -18.699921688 -4.7561 0.2721 79.87679 20.01455 1.604 2.56 51.82228 274.3174508 -18.6999217 10.655282000000001 10.282584199999999 9.71824932 0.37269780000000274 0.9370326800000015 0.5643348799999988
75 77 528.3773 1740.1029 273.69355377 -19.288101794 -3.9002 0.5704 36.31388 19.072779999999998 0.852 3.6 52.11736 273.6935538 -19.2881018 12.546189300000002 9.40506077 7.95312786 3.1411285300000014 4.593061440000001 1.45193291
76 78 713.0677 1736.0206 273.78412722 -19.198816087 -1.7575 3.884 5.046556 18.0486 0.349 3.2 52.2239 273.7841272 -19.198816100000002 99.0 99.0 99.0 0.0 0.0 0.0
77 79 820.1914 1673.6839 273.80638659 -19.118972065999998 -6.047 0.1003 262.3097 24.215510000000002 1.147 2.46 52.132509999999996 273.80638660000005 -19.1189721 9.05919552 8.40953255 7.63210249 0.6496629699999996 1.427093029999999 0.7774300599999995
78 80 1128.5071 1631.9026 273.93939994 -18.953449464000002 -6.1447 0.0935 286.9865 24.71978 0.932 1.96 52.3044 273.93939989999996 -18.953449499999998 99.0 99.0 99.0 0.0 0.0 0.0
79 81 1178.0419 1591.4087 273.94389455 -18.911020238 -5.6736 0.1319 185.9675 22.58426 1.155 2.2 52.059490000000004 273.9438946 -18.9110202 99.0 99.0 99.0 0.0 0.0 0.0
80 82 1840.2612 1589.1474 274.27232558 -18.596697664 -5.2963 0.1764 131.3806 21.34155 1.9709999999999999 3.73 51.7054 274.2723256 -18.5966977 99.0 99.0 99.0 0.0 0.0 0.0
81 83 403.4151 1588.6154 273.55559707 -19.275501456 -4.3693 0.37 55.939640000000004 19.056279999999997 0.983 1.01 52.03716 273.55559710000006 -19.2755015 10.1754704 9.99023151 9.64143181 0.18523889000000082 0.5340385899999998 0.34879969999999894
82 84 1404.5947 1580.5696 274.05137981 -18.79882464 -6.5262 0.0714 407.8413 26.803340000000002 1.348 3.83 51.864290000000004 274.0513798 -18.7988246 8.09996796 8.07672787 7.97446203 0.0232400900000016 0.125505930000001 0.10226583999999939
83 85 947.5106 1567.3821 273.81700495 -19.008503645999998 -5.348 0.1688 137.7834 21.41235 1.584 3.54 51.95622 273.817005 -19.0085036 9.90512943 9.87268162 9.76750755 0.03244781000000074 0.13762188000000108 0.10517407000000034
84 86 1049.047 1558.8319 273.86337272 -18.956651271 -3.9876 0.5236 39.35742 18.97532 0.81 4.02 52.08063 273.8633727 -18.9566513 99.0 99.0 99.0 0.0 0.0 0.0
85 87 1402.4878 1450.8408 273.98559842 -18.738655374 -4.9636 0.2266 96.70384 20.18122 1.08 3.24 51.8694 273.98559839999996 -18.7386554 9.63832664 9.37078571 8.93590546 0.2675409300000009 0.70242118 0.4348802499999991
86 88 223.8823 1448.3707 273.39558391 -19.294013311 -5.3106 0.1744 133.1169 21.382189999999998 1.258 3.51 52.04712 273.39558389999996 -19.2940133 99.0 99.0 99.0 0.0 0.0 0.0
87 89 475.6041 1436.908 273.51611349 -19.17001304 -5.1017 0.2052 109.8239 20.7492 1.545 3.42 51.80048 273.51611349999996 -19.170013 9.79963875 9.67218494 9.40591812 0.12745381000000044 0.3937206299999989 0.26626681999999846
88 90 950.7495 1432.5464 273.75134376 -18.943653363 -6.665 0.0653 463.4383 27.88175 1.128 2.13 52.0783 273.75134380000003 -18.9436534 8.07315922 8.03762341 7.90843534 0.03553581000000072 0.16472388000000127 0.12918807000000054
89 91 310.6433 1429.1025 273.42929718 -19.244104362999998 -6.5467 0.0719 415.5947 27.50555 1.48 5.02 52.08909 273.4292972 -19.244104399999998 9.60962105 8.03673744 6.82934809 1.5728836099999999 2.7802729599999996 1.2073893499999997
90 92 2034.4033 1427.6761 274.28756735 -18.428509377 -5.2003 0.1904 120.2638 21.07949 2.77 3.25 51.57952 274.28756739999994 -18.4285094 99.0 99.0 99.0 0.0 0.0 0.0
91 93 1686.8444 1416.924 274.11016529 -18.588418381 -5.3744 0.1653 141.1818 21.49156 2.146 2.19 51.79634 274.1101653 -18.5884184 10.7478104 9.91063404 9.02032375 0.8371763600000008 1.7274866500000012 0.8903102900000004
92 94 1917.6144 1385.7721 274.20928693 -18.464453183 -6.0137 0.1024 254.37900000000002 23.98092 1.5430000000000001 3.44 51.6874 274.2092869 -18.4644532 99.0 99.0 99.0 0.0 0.0 0.0
93 95 636.9955 1384.9208 273.57084738 -19.06914588 -5.2586 0.1811 126.8879 21.1564 1.66 4.28 52.05103 273.5708474 -19.0691459 9.51990986 9.52775574 9.42483807 -0.007845879999999639 0.09507179000000043 0.10291767000000007
94 96 376.6153 1384.6638 273.44070952 -19.192059346 -4.4685 0.3478 61.29221 19.63093 1.419 4.26 51.97384 273.4407095 -19.1920593 10.2169142 10.1302557 9.94604111 0.08665850000000042 0.27087309000000026 0.18421458999999984
95 97 885.9658 1247.9883 273.62687705 -18.887315314000002 -3.1173 1.137 17.656570000000002 18.48615 0.524 1.88 52.36233 273.626877 -18.8873153 9.95304489 9.88602543 9.72196388 0.06701945999999914 0.2310810099999987 0.16406154999999956
96 98 809.1847 1172.8437 273.55127899 -18.888110203 -4.1074 0.4719 43.95026 19.09596 1.0490000000000002 2.54 52.01027 273.551279 -18.8881102 10.067703199999999 9.98887825 9.80982399 0.07882494999999778 0.2578792099999987 0.1790542600000009
97 99 1169.4992 1169.4237 273.72954859 -18.716430815 -4.9894 0.2219 99.03227 20.23883 0.9179999999999999 2.41 51.97893 273.7295486 -18.7164308 10.9503174 9.57728195 8.41529465 1.3730354499999997 2.5350227499999995 1.1619872999999998
98 100 1721.2756 1120.7515 273.97980743 -18.432654058 -6.4931 0.0731 395.5868 26.6372 1.629 3.31 51.60125 273.97980739999997 -18.432654100000004 8.42088699 8.39688301 8.28430939 0.024003979999999814 0.13657759999999897 0.11257361999999915
99 101 1972.5093 1113.4404 274.10107814 -18.310529746 -5.0125 0.2178 101.1585 20.29129 2.11 4.13 51.60431 274.10107810000005 -18.3105297 12.3984804 10.609585800000001 9.36539841 1.788894599999999 3.0330819900000012 1.2441873900000022
100 102 1363.2155 1081.9635 273.78245208 -18.583573528 -6.6611 0.0659 461.783 28.03327 1.2590000000000001 3.32 51.66525 273.7824521 -18.5835735 9.28115082 8.38617611 7.46100283 0.8949747100000014 1.8201479900000006 0.9251732799999992
101 104 1700.9009 1076.7611 273.94836623 -18.422133815 -5.3301 0.1712 135.5295 21.35966 2.983 2.51 51.62917 273.9483662 -18.4221338 9.91061306 9.81684399 9.6108284 0.09376906999999868 0.2997846599999985 0.2060155899999998
102 105 952.8664 988.9779 273.53154205 -18.733471124 -6.1099 0.0956 277.9449 24.46733 1.361 3.67 51.84962 273.531542 -18.733471100000003 9.35236931 8.72332287 7.96644306 0.6290464399999998 1.3859262500000007 0.7568798100000009
103 106 2022.4295 984.3301 274.06151587 -18.226148022 -5.5654 0.1422 168.3263 22.0376 1.745 3.9 51.58737 274.0615159 -18.226148000000002 99.0 99.0 99.0 0.0 0.0 0.0
104 107 783.3892 984.0809 273.44477717 -18.811274877 -5.3926 0.1612 143.564 21.3106 1.3619999999999999 2.42 51.99203 273.4447772 -18.811274899999997 8.56720448 8.42021561 8.11763477 0.1469888699999995 0.4495697099999987 0.3025808399999992
105 108 782.7986 981.3358 273.44288442 -18.810018109 -6.0518 0.0996 263.4572 24.16946 1.2570000000000001 2.05 51.99777 273.44288439999997 -18.8100181 8.56720448 8.42021561 8.11763477 0.1469888699999995 0.4495697099999987 0.3025808399999992
106 109 777.7888 980.0494 273.43996304 -18.811887729000002 -4.8689 0.2479 88.62195 20.23184 1.371 1.74 51.98487 273.439963 -18.811887699999996 8.56720448 8.42021561 8.11763477 0.1469888699999995 0.4495697099999987 0.3025808399999992
107 110 1990.4924 976.4839 274.04186889 -18.237882866 -5.3182 0.1728 134.0513 21.325029999999998 2.7289999999999996 3.28 51.58706 274.0418689 -18.2378829 10.432070699999999 10.2123299 9.82574749 0.21974079999999852 0.6063232099999993 0.3865824100000008
108 111 860.6892 961.7247 273.47205613 -18.764101926 -7.0159 0.0526 640.2563 30.99938 1.189 2.24 52.00166 273.47205610000003 -18.764101899999996 99.0 99.0 99.0 0.0 0.0 0.0
109 112 1395.4542 958.5412 273.73711135 -18.510257672999998 -4.0977 0.4647 43.560970000000005 18.63832 0.86 1.08 51.9428 273.73711139999995 -18.5102577 11.567260699999999 10.2716913 9.16825008 1.295569399999998 2.3990106199999985 1.1034412200000006
110 113 1735.3657 946.3967 273.90024163 -18.344004374 -5.2507 0.1801 125.9711 20.89375 1.016 1.01 51.88673 273.9002416 -18.3440044 99.0 99.0 99.0 0.0 0.0 0.0
111 114 316.7277 939.0524 273.18862293 -19.009812455 -5.5233 0.1473 161.9213 21.968770000000003 1.431 5.44 52.17483 273.1886229 -19.0098125 10.4761972 8.63664436 7.35452604 1.8395528399999996 3.12167116 1.2821183200000004
112 115 1687.3954 924.164 273.86531902 -18.356228491 -6.2086 0.0894 304.3849 25.069229999999997 1.3 3.13 51.86981 273.865319 -18.3562285 8.80286884 8.50567532 8.00748634 0.29719352000000043 0.7953825000000005 0.4981889800000001
113 116 761.9879 923.4822 273.40367848 -18.792659010999998 -4.327 0.3941 53.8044 19.525920000000003 0.97 4.19 52.10358 273.4036785 -18.792659 9.77987766 9.76324749 9.69865131 0.016630170000000888 0.08122634999999967 0.06459617999999878
114 117 1930.7218 919.6953 273.98392872 -18.239018168 -7.0483 0.0516 659.6375 31.364290000000004 1.5530000000000002 5.72 51.91203 273.9839287 -18.2390182 7.77782583 7.63905096 7.33948469 0.13877487000000066 0.43834114000000035 0.2995662699999997
115 118 1957.4439 841.7979 273.95844005 -18.18991795 -5.2981 0.1755 131.5925 21.2673 1.499 4.21 51.93 273.9584401 -18.189917899999998 99.0 99.0 99.0 0.0 0.0 0.0
